data,model,window,best_ep,targetF1,microF1,MAP,logfile
bitcoinotc,egcn_o,NA,16,0.1355,0.646,0.9147319793701172,log_bitcoinotc_edge_cls_egcn_o_20260602050926_r0.log
bitcoinotc,egcn_o,NA,8,0.1669,0.5449,0.9023423194885254,log_bitcoinotc_edge_cls_egcn_o_20260602051247_r0.log
bitcoinotc,egcn_o,NA,20,0.161,0.5456,0.9043195843696594,log_bitcoinotc_edge_cls_egcn_o_20260602053801_r0.log
bitcoinotc,egcn_o,NA,15,0.1754,0.3791,0.9087860584259033,log_bitcoinotc_edge_cls_egcn_o_20260602055959_r0.log
sbm50,egcn_h,NA,25,0.2369,0.7972,0.1887497901916504,log_sbm50_link_pred_egcn_h_20260602090145_r0.log
sbm50,egcn_h,NA,40,0.2601,0.6072,0.17430420219898224,log_sbm50_link_pred_egcn_h_20260602113112_r0.log
sbm50,egcn_h,NA,30,0.2419,0.5934,0.16614994406700134,log_sbm50_link_pred_egcn_h_20260602142900_r0.log
bitcoinalpha,egcn_o,NA,177,0.2408,0.6222,0.8893121480941772,log_bitcoinalpha_edge_cls_egcn_o_20260602062115_r0.log
bitcoinalpha,egcn_o,NA,197,0.2519,0.6369,0.8852415084838867,log_bitcoinalpha_edge_cls_egcn_o_20260602071343_r0.log
bitcoinalpha,egcn_o,NA,144,0.216,0.5208,0.8817475438117981,log_bitcoinalpha_edge_cls_egcn_o_20260602080940_r0.log
bitcoinotc,egcn_t,2,7,0.2087,0.2886,0.9206284880638123,log_bitcoinotc_edge_cls_egcn_t_20260602053544_r0.log
bitcoinotc,egcn_t,3,107,0.1024,0.7338,0.8943498134613037,log_bitcoinotc_edge_cls_egcn_t_20260602055911_r0.log
bitcoinalpha,egcn_h,NA,139,0.0328,0.8557,0.8960866928100586,log_bitcoinalpha_edge_cls_egcn_h_20260601211128_r0.log
bitcoinotc,egcn_t,5,11,0.1817,0.2503,0.8944579362869263,log_bitcoinotc_edge_cls_egcn_t_20260602064436_r0.log
bitcoinotc,egcn_t,8,8,0.1817,0.2563,0.9030194878578186,log_bitcoinotc_edge_cls_egcn_t_20260602070944_r0.log
bitcoinotc,egcn_t,10,169,0.052,0.7834,0.8850061893463135,log_bitcoinotc_edge_cls_egcn_t_20260602073353_r0.log
elliptic_temporal,egcn_o,NA,7,0.3485,0.851,0.34635263681411743,log_elliptic_temporal_node_cls_egcn_o_20260516182401_r0.log
elliptic_temporal,egcn_o,NA,51,0.5162,0.9309,0.3809302747249603,log_elliptic_temporal_node_cls_egcn_o_20260516190633_r0.log
elliptic_temporal,egcn_o,NA,7,0.4157,0.9127,0.31043118238449097,log_elliptic_temporal_node_cls_egcn_o_20260601062422_r0.log
elliptic_temporal,egcn_o,NA,146,0.5775,0.949,0.3978212773799896,log_elliptic_temporal_node_cls_egcn_o_20260601063049_r0.log
elliptic_temporal,egcn_o,NA,413,0.4367,0.9432,0.3290517032146454,log_elliptic_temporal_node_cls_egcn_o_20260601090826_r0.log
sbm50,egcn_t,10,15,0.2225,0.5515,0.14002160727977753,log_sbm50_link_pred_egcn_t_20260602051219_r0.log
sbm50,egcn_o,NA,60,0.2735,0.7828,0.1930111050605774,log_sbm50_link_pred_egcn_o_20260602083451_r0.log
sbm50,egcn_o,NA,11,0.1765,0.8656,0.19557484984397888,log_sbm50_link_pred_egcn_o_20260602150113_r0.log
sbm50,egcn_o,NA,71,0.2199,0.8403,0.19398951530456543,log_sbm50_link_pred_egcn_o_20260602185602_r0.log
sbm50,egcn_t,10,84,0.1749,0.3115,0.09592956304550171,log_sbm50_link_pred_egcn_t_20260602113932_r0.log
sbm50,egcn_t,10,75,0.2247,0.5037,0.14609242975711823,log_sbm50_link_pred_egcn_t_20260602170648_r0.log
sbm50,egcn_t,10,96,0.2306,0.5422,0.14876003563404083,log_sbm50_link_pred_egcn_t_20260602204456_r0.log
bitcoinalpha,egcn_h,NA,248,0.1579,0.8435,0.907008171081543,log_bitcoinalpha_edge_cls_egcn_h_20260601223543_r0.log
bitcoinalpha,egcn_o,NA,204,0.2166,0.5844,0.8858642578125,log_bitcoinalpha_edge_cls_egcn_o_20260601205249_r0.log
bitcoinotc,egcn_h,NA,97,0.1087,0.8917,0.932056188583374,log_bitcoinotc_edge_cls_egcn_h_20260602003310_r0.log
bitcoinotc,egcn_o,NA,7,0.1923,0.1453,0.9030540585517883,log_bitcoinotc_edge_cls_egcn_o_20260601234925_r0.log
sbm50,egcn_h,NA,87,0.2505,0.6685,0.16417638957500458,log_sbm50_link_pred_egcn_h_20260601210304_r0.log
sbm50,egcn_o,NA,67,0.237,0.8348,0.19200406968593597,log_sbm50_link_pred_egcn_o_20260601210547_r0.log
bitcoinotc,egcn_o,10,8,0.1626,0.3672,0.8906236886978149,log_bitcoinotc_edge_cls_egcn_o_20260603044335_r0.log
bitcoinotc,egcn_o,2,382,0.1709,0.6988,0.9265936017036438,log_bitcoinotc_edge_cls_egcn_o_20260603062140_r0.log
bitcoinotc,egcn_t,2,215,0.1111,0.7464,0.9148947596549988,log_bitcoinotc_edge_cls_egcn_t_20260603045727_r0.log
bitcoinotc,egcn_t,10,11,0.1927,0.1202,0.8922221660614014,log_bitcoinotc_edge_cls_egcn_t_20260603051932_r0.log
